0,# 0 0 target:0 c+:44 c-:305 score:382.2312210293087 score+:598.3661801718007 score-:2127.2910642890356 nb:5 =l_0c_19 l_0c_6 l_0c_13 l_0c_11 l_0c_1 
1,# 1 1 target:0 c+:25 c-:187 score:251.71077759385633 score+:394.2740138478385 score-:1552.1435907795776 nb:6 =l_0c_18 l_0c_7 l_0c_15 l_0c_8 l_0c_2 l_0c_0 
2,# 2 2 target:0 c+:51 c-:252 score:258.5372405307565 score+:751.5089519853763 score-:1940.780258426856 nb:6 =l_0c_18 l_0c_5 l_0c_7 l_0c_8 l_0c_0 l_0c_12 
3,# 3 3 target:0 c+:60 c-:338 score:441.4039845090877 score+:1044.7796802605558 score-:3075.2380090023594 nb:6 =l_0c_13 l_0c_14 l_0c_15 l_0c_11 l_0c_10 l_0c_1 
4,# 4 4 target:0 c+:35 c-:261 score:269.59239011525676 score+:400.288598093862 score-:1478.658158554889 nb:5 =l_0c_18 l_0c_7 l_0c_11 l_0c_0 l_0c_1 
5,# 5 5 target:0 c+:64 c-:324 score:396.01859650533896 score+:810.8631714556797 score-:2157.326399573832 nb:4 =l_0c_3 l_0c_17 l_0c_13 l_0c_2 
6,# 6 6 target:0 c+:63 c-:313 score:415.3204630071932 score+:1049.7318758604206 score-:2711.0137278891934 nb:5 =l_0c_3 l_0c_17 l_0c_15 l_0c_8 l_0c_10 
7,# 7 7 target:0 c+:60 c-:329 score:378.00662201520515 score+:995.9031052466365 score-:2734.73356651658 nb:6 =l_0c_5 l_0c_7 l_0c_13 l_0c_14 l_0c_8 l_0c_12 
8,# 8 8 target:0 c+:55 c-:319 score:334.2951443714055 score+:570.2058130973685 score-:1706.8093039601474 nb:4 =l_0c_13 l_0c_15 l_0c_8 l_0c_12 
9,# 9 9 target:0 c+:91 c-:440 score:464.5623337501935 score+:1232.4600499586345 score-:3090.7093849594085 nb:5 =l_0c_15 l_0c_11 l_0c_8 l_0c_2 l_0c_1 
10,# 10 0 target:1 c+:103 c-:167 score:74.09555203647699 score+:1739.4447847240522 score-:1443.0625765781442 nb:5 =l_0c_3 l_0c_5 l_0c_16 l_0c_2 l_0c_10 
11,# 11 1 target:1 c+:22 c-:29 score:27.297148475417323 score+:287.20106429025975 score-:194.39075947384083 nb:4 =l_0c_17 l_0c_6 l_0c_13 l_0c_10 
12,# 12 2 target:1 c+:8 c-:1 score:26.47383436514867 score+:96.24286702369778 score-:6.231830182192301 nb:4 =l_0c_18 l_0c_19 l_0c_13 l_0c_10 
13,# 13 3 target:1 c+:9 c-:3 score:25.277957109871906 score+:103.5060603485302 score-:17.561006174965705 nb:4 =l_0c_19 l_0c_5 l_0c_7 l_0c_17 
14,# 14 4 target:1 c+:19 c-:24 score:22.612592471279825 score+:259.1937434578174 score-:168.7433735726981 nb:5 =l_0c_18 l_0c_19 l_0c_6 l_0c_16 l_0c_9 
15,# 15 5 target:1 c+:10 c-:3 score:22.35664737090238 score+:142.9189352480998 score-:26.664368919407462 nb:7 =l_0c_13 l_0c_11 l_0c_8 l_0c_2 l_0c_10 l_0c_0 l_0c_12 
16,# 16 6 target:1 c+:11 c-:11 score:21.169494068746797 score+:188.49024050399967 score-:91.11056778776441 nb:6 =l_0c_3 l_0c_14 l_0c_11 l_0c_16 l_0c_2 l_0c_9 
17,# 17 7 target:1 c+:9 c-:6 score:19.88361299413215 score+:142.56884018197562 score-:51.10422040896772 nb:6 =l_0c_18 l_0c_6 l_0c_13 l_0c_14 l_0c_8 l_0c_1 
18,# 18 8 target:1 c+:26 c-:40 score:19.766573392841536 score+:406.02025002223854 score-:326.9539564508724 nb:5 =l_0c_18 l_0c_6 l_0c_14 l_0c_11 l_0c_10 
19,# 19 9 target:1 c+:7 c-:2 score:18.53124083697155 score+:86.59884392379573 score-:12.473880575909536 nb:5 =l_0c_5 l_0c_17 l_0c_14 l_0c_11 l_0c_1 
20,# 20 0 target:0 c+:44 c-:314 score:433.84682140937946 score+:489.8298966391807 score-:1964.9090894310712 nb:4 =l_1c_7 l_1c_15 l_1c_19 l_1c_10 
21,# 21 1 target:0 c+:33 c-:240 score:337.80492643173216 score+:421.99226473206744 score-:1570.5290145999568 nb:4 =l_1c_7 l_1c_12 l_1c_0 l_1c_6 
22,# 22 2 target:0 c+:30 c-:252 score:300.8889740635178 score+:312.5327338900614 score-:1335.555245706022 nb:4 =l_1c_7 l_1c_9 l_1c_6 l_1c_10 
23,# 23 3 target:0 c+:94 c-:442 score:415.666297676044 score+:1462.6659718957462 score-:3374.730941205549 nb:6 =l_1c_7 l_1c_0 l_1c_9 l_1c_6 l_1c_17 l_1c_16 
24,# 24 4 target:0 c+:87 c-:465 score:521.0874011591557 score+:1137.752825789655 score-:3222.1024304262774 nb:5 =l_1c_12 l_1c_1 l_1c_0 l_1c_10 l_1c_11 
25,# 25 5 target:0 c+:86 c-:448 score:400.9148034967342 score+:1082.6159734459015 score-:2686.2751874328383 nb:5 =l_1c_12 l_1c_0 l_1c_9 l_1c_17 l_1c_16 
