,dataset,metric,graphid,rule,pred,fidelity,infidelity,mags,spars
0,ba2,cosine,2,11,0.7271881699562073,0.7271881699562073,0,3,0.0
0,ba2,cosine,2,12,0.7271881699562073,0.7271881699562073,0,3,0.0
0,ba2,cosine,2,13,0.7271881699562073,0.7271881699562073,0,3,0.0
0,ba2,cosine,2,14,0.7271881699562073,0.7271881699562073,0,3,0.0
0,ba2,cosine,2,15,0.7271881699562073,0.24996937811374664,0.39814916253089905,3,0.28
0,ba2,cosine,2,16,0.7271881699562073,0.7271881699562073,0,3,0.0
0,ba2,cosine,2,17,0.7271881699562073,0.7271881699562073,0,3,0.0
0,ba2,cosine,2,18,0.7271881699562073,0.3632028102874756,0.7364557385444641,3,0.12
0,ba2,cosine,2,19,0.7271881699562073,0.3632028102874756,0.7364557385444641,3,0.12
0,ba2,cosine,2,20,0.7271881699562073,0.35845497250556946,0.7258201241493225,3,0.2
0,ba2,cosine,2,21,0.7271881699562073,0.7271881699562073,0,3,0.0
0,ba2,cosine,2,22,0.7271881699562073,0.35845497250556946,0.7258201241493225,4,0.2
0,ba2,cosine,2,23,0.7271881699562073,0.7271881699562073,0,3,0.0
0,ba2,cosine,2,24,0.7271881699562073,0.19017790257930756,0.7136098146438599,4,0.4
0,ba2,cosine,3,0,0.5930255651473999,0.5930255651473999,0,15,0.0
0,ba2,cosine,3,1,0.5930255651473999,0.1437452882528305,0.29006773233413696,5,0.56
0,ba2,cosine,3,2,0.5930255651473999,0.14374525845050812,0.5984683632850647,3,0.72
0,ba2,cosine,3,3,0.5930255651473999,0.5930255651473999,0,2,0.0
0,ba2,cosine,3,4,0.5930255651473999,0.5930255651473999,0,4,0.0
0,ba2,cosine,3,5,0.5930255651473999,0.2346258908510208,0.721500039100647,2,0.6
0,ba2,cosine,3,6,0.5930255651473999,0.20596842467784882,0.35111644864082336,2,0.64
0,ba2,cosine,3,7,0.5930255651473999,0.23055505752563477,0.7208060622215271,3,0.16
0,ba2,cosine,3,8,0.5930255651473999,0.2678276300430298,0.7087187767028809,2,0.36
0,ba2,cosine,3,9,0.5930255651473999,0.3512831926345825,0.7364557385444641,3,0.12
0,ba2,cosine,3,10,0.5930255651473999,0.7150347828865051,0.5755343437194824,3,0.2
0,ba2,cosine,3,11,0.5930255651473999,0.5930255651473999,0,3,0.0
0,ba2,cosine,3,12,0.5930255651473999,0.5930255651473999,0,3,0.0
0,ba2,cosine,3,13,0.5930255651473999,0.3512831926345825,0.7364557385444641,3,0.12
0,ba2,cosine,3,14,0.5930255651473999,0.5930255651473999,0,3,0.0
0,ba2,cosine,3,15,0.5930255651473999,0.5930255651473999,0,3,0.0
0,ba2,cosine,3,16,0.5930255651473999,0.5930255651473999,0,3,0.0
0,ba2,cosine,3,17,0.5930255651473999,0.3512831926345825,0.7364557385444641,3,0.12
0,ba2,cosine,3,18,0.5930255651473999,0.5930255651473999,0,3,0.0
0,ba2,cosine,3,19,0.5930255651473999,0.5930255651473999,0,3,0.0
0,ba2,cosine,3,20,0.5930255651473999,0.7150347828865051,0.5755343437194824,3,0.2
0,ba2,cosine,3,21,0.5930255651473999,0.5930255651473999,0,3,0.0
0,ba2,cosine,3,22,0.5930255651473999,0.7150347828865051,0.5755343437194824,4,0.2
0,ba2,cosine,3,23,0.5930255651473999,0.5930255651473999,0,3,0.0
0,ba2,cosine,3,24,0.5930255651473999,0.17912881076335907,0.7208060622215271,4,0.16
0,ba2,cosine,4,0,0.28333142399787903,0.28333142399787903,0,15,0.0
0,ba2,cosine,4,1,0.28333142399787903,0.1437452882528305,0.27355149388313293,5,0.64
0,ba2,cosine,4,2,0.28333142399787903,0.14374524354934692,0.722226619720459,3,0.6
0,ba2,cosine,4,3,0.28333142399787903,0.244835764169693,0.6970716118812561,2,0.36
0,ba2,cosine,4,4,0.28333142399787903,0.28333142399787903,0,4,0.0
0,ba2,cosine,4,5,0.28333142399787903,0.22239933907985687,0.7199873924255371,2,0.6
0,ba2,cosine,4,6,0.28333142399787903,0.21324123442173004,0.719127357006073,2,0.56
0,ba2,cosine,4,7,0.28333142399787903,0.28333142399787903,0,3,0.0
0,ba2,cosine,4,8,0.28333142399787903,0.244835764169693,0.6970716118812561,2,0.36
0,ba2,cosine,4,9,0.28333142399787903,0.7099565863609314,0.19104711711406708,3,0.24
0,ba2,cosine,4,10,0.28333142399787903,0.7099565863609314,0.19104711711406708,3,0.24
0,ba2,cosine,4,11,0.28333142399787903,0.28333142399787903,0,3,0.0
0,ba2,cosine,4,12,0.28333142399787903,0.28333142399787903,0,3,0.0
0,ba2,cosine,4,13,0.28333142399787903,0.28333142399787903,0,3,0.0
0,ba2,cosine,4,14,0.28333142399787903,0.28333142399787903,0,3,0.0
0,ba2,cosine,4,15,0.28333142399787903,0.2441403865814209,0.5458959937095642,3,0.28
0,ba2,cosine,4,16,0.28333142399787903,0.28333142399787903,0,3,0.0
0,ba2,cosine,4,17,0.28333142399787903,0.34403830766677856,0.7208060622215271,3,0.16
0,ba2,cosine,4,18,0.28333142399787903,0.28333142399787903,0,3,0.0
0,ba2,cosine,4,19,0.28333142399787903,0.28333142399787903,0,3,0.0
